date,OT
2024/3/23 3:00,1038.9
2024/3/23 3:15,180
2024/3/23 3:30,-41
2024/3/23 3:45,5752
2024/3/23 4:00,1500
2024/3/23 4:15,5160
2024/3/23 4:30,3118
2024/3/23 4:45,1369
2024/3/23 5:00,2038
2024/3/23 5:15,1203
2024/3/23 5:30,1890.1
2024/3/23 5:45,4187
2024/3/23 6:00,5371
2024/3/23 6:15,4429
2024/3/23 6:30,4952
2024/3/23 6:45,3229
2024/3/23 7:00,4929
2024/3/23 7:15,3396
2024/3/23 7:30,2691
2024/3/23 7:45,3234
2024/3/23 8:00,2459
2024/3/23 8:15,699
2024/3/23 8:30,1542
2024/3/23 8:45,2235
2024/3/23 9:00,2692
2024/3/23 9:15,3509
2024/3/23 9:30,2452
2024/3/23 9:45,4628
2024/3/23 10:00,4445
2024/3/23 10:15,3435
2024/3/23 10:30,3214
2024/3/23 10:45,2388.1
2024/3/23 11:00,1928
2024/3/23 11:15,2825
2024/3/23 11:30,1696
2024/3/23 11:45,1285
2024/3/23 12:00,251
2024/3/23 12:15,948.1
2024/3/23 12:30,1844.1
2024/3/23 12:45,718
2024/3/23 13:00,936
2024/3/23 13:15,2676
2024/3/23 13:30,1357.9
2024/3/23 13:45,1131
2024/3/23 14:00,2541
2024/3/23 14:15,2733
2024/3/23 14:45,724
2024/3/23 15:00,2141
2024/3/23 15:15,1606
2024/3/23 15:30,979.8
2024/3/23 15:45,986
2024/3/23 16:00,1867
2024/3/23 16:15,2358.1
2024/3/23 16:30,1907
2024/3/23 16:45,2398
2024/3/23 17:00,1578
2024/3/23 17:15,1463
2024/3/23 17:30,697
2024/3/23 17:45,967.1
2024/3/23 18:00,1085
2024/3/23 18:15,1564
2024/3/23 18:30,1498
2024/3/23 18:45,1168
2024/3/23 19:00,348
2024/3/23 19:15,439
2024/3/23 19:30,935
2024/3/23 19:45,1170
2024/3/23 20:00,2819
2024/3/23 20:15,2828
2024/3/23 20:30,2687
2024/3/23 20:45,2855
2024/3/23 21:00,1826
2024/3/23 21:15,2578
2024/3/23 21:30,2476
2024/3/23 21:45,3549
2024/3/23 22:00,5085
2024/3/23 22:15,3802
2024/3/23 22:30,1444
2024/3/23 22:45,1432
2024/3/23 23:00,1459
2024/3/23 23:15,240
2024/3/23 23:30,3498
2024/3/23 23:45,-23
2024/3/24 0:00,631
2024/3/24 0:15,1112
2024/3/24 0:30,2718
2024/3/24 0:45,1111
2024/3/24 1:00,1778
2024/3/24 1:15,2117
2024/3/24 1:30,2160
2024/3/24 1:45,2714
2024/3/24 2:00,3661
2024/3/24 2:15,4415
2024/3/24 2:30,1213
2024/3/24 2:45,999
2024/3/24 3:00,1734
2024/3/24 3:15,846
2024/3/24 3:30,1984
2024/3/24 3:45,2118
2024/3/24 4:00,2138
2024/3/24 4:15,2639
2024/3/24 4:30,762
2024/3/24 4:45,920.1
2024/3/24 5:00,685
2024/3/24 5:15,683
2024/3/24 5:30,663
2024/3/24 5:45,1017
2024/3/24 6:00,1795.9
2024/3/24 6:15,2548
2024/3/24 6:30,1973
2024/3/24 6:45,2223
2024/3/24 7:00,3230
2024/3/24 7:15,2852
2024/3/24 7:30,2512
2024/3/24 7:45,2239
2024/3/24 8:00,1835
2024/3/24 8:15,1359
2024/3/24 8:30,1337
2024/3/24 8:45,1529
2024/3/24 9:00,1760
2024/3/24 9:15,1730
2024/3/24 9:30,1248.1
2024/3/24 9:45,1178
2024/3/24 10:00,1348.9
2024/3/24 10:15,2100
2024/3/24 10:30,1093
2024/3/24 10:45,1148
2024/3/24 11:00,1412
2024/3/24 11:15,2116
2024/3/24 11:30,2491
2024/3/24 11:45,3070
2024/3/24 12:00,2892
2024/3/24 12:15,3695
2024/3/24 12:30,3482
2024/3/24 12:45,2492
2024/3/24 13:00,2872
2024/3/24 13:15,2729
2024/3/24 13:30,2613
2024/3/24 13:45,3886
2024/3/24 14:00,2981
2024/3/24 14:15,3492
2024/3/24 14:30,3051
2024/3/24 14:45,3917
2024/3/24 15:00,3157
2024/3/24 15:15,2700
2024/3/24 15:30,2925
2024/3/24 15:45,3080
2024/3/24 16:00,2655
2024/3/24 16:15,1641
2024/3/24 16:30,2226
2024/3/24 16:45,2734
2024/3/24 17:00,2934
2024/3/24 17:15,2865
2024/3/24 17:30,2387
2024/3/24 17:45,2705
2024/3/24 18:00,3347.9
2024/3/24 18:15,2414
2024/3/24 18:30,2790
2024/3/24 18:45,2581
2024/3/24 19:00,3506
2024/3/24 19:15,4022
2024/3/24 19:30,2632
2024/3/24 19:45,3350
2024/3/24 20:00,4601.1
2024/3/24 20:15,5244
2024/3/24 20:30,5311
2024/3/24 20:45,3875
2024/3/24 21:00,3866
2024/3/24 21:15,4185.9
2024/3/24 21:30,2978
2024/3/24 21:45,1972
2024/3/24 22:00,1366
2024/3/24 22:15,1203
2024/3/24 22:30,2205
2024/3/24 22:45,2696
2024/3/24 23:00,4167
2024/3/24 23:15,3617
2024/3/24 23:30,3439
2024/3/24 23:45,2546.1
2024/3/25 0:00,1958
2024/3/25 0:15,2544
2024/3/25 0:30,1291
2024/3/25 0:45,1569
2024/3/25 1:00,1708
2024/3/25 1:15,2132
2024/3/25 1:30,1617
2024/3/25 1:45,1437
2024/3/25 2:00,1329
2024/3/25 2:15,1435
2024/3/25 2:30,1162
2024/3/25 2:45,1379
2024/3/25 3:00,897
2024/3/25 3:15,747
2024/3/25 3:30,715
2024/3/25 3:45,730
2024/3/25 4:00,1502
2024/3/25 4:15,939
2024/3/25 4:30,1512
2024/3/25 4:45,988
2024/3/25 5:00,1170
2024/3/25 5:15,666
2024/3/25 5:30,882.9
2024/3/25 5:45,1751
2024/3/25 6:00,775
2024/3/25 6:15,324
2024/3/25 6:30,322
2024/3/25 6:45,108
2024/3/25 7:00,-32
2024/3/25 7:15,-36
2024/3/25 7:30,-31
2024/3/25 7:45,-36
2024/3/25 8:00,433
2024/3/25 8:15,232
2024/3/25 8:30,440
2024/3/25 8:45,321
2024/3/25 9:00,199.9
2024/3/25 9:15,187
2024/3/25 9:30,374
2024/3/25 9:45,344
2024/3/25 10:00,337
2024/3/25 10:15,190
2024/3/25 10:30,211
2024/3/25 10:45,305
2024/3/25 11:00,94
2024/3/25 11:15,180
2024/3/25 11:30,133
2024/3/25 11:45,139
